$W_{q}$,$W_{k}$,$W_{v}$,$W_o$,$W_{gate}$,$W_{up}$,$W_{down}$,step,layer
16,16,16,17,17,16,15,857,0
15,14,14,16,17,17,9,857,1
15,16,16,17,17,16,16,857,2
16,15,16,17,17,17,16,857,3
14,16,16,17,17,17,16,857,4
16,16,13,17,17,17,16,857,5
15,16,16,16,17,17,16,857,6
15,15,16,16,17,17,17,857,7
15,16,15,16,17,17,17,857,8
16,15,16,16,17,16,17,857,9
16,15,15,16,17,17,17,857,10
15,15,14,16,17,17,16,857,11
16,14,14,16,17,17,17,857,12
14,14,15,15,17,17,16,857,13
16,16,13,16,17,17,16,857,14
15,16,12,16,17,17,17,857,15
16,16,16,16,17,16,17,857,16
14,16,16,16,17,17,16,857,17
16,16,14,16,17,17,16,857,18
16,14,16,16,17,17,16,857,19
16,15,11,17,17,17,16,857,20
16,16,12,17,17,16,16,857,21
16,15,15,17,17,17,16,857,22
14,16,13,17,17,17,16,857,23
16,17,16,17,17,17,16,857,24
16,16,14,17,17,17,16,857,25
17,16,12,17,17,17,16,857,26
16,16,15,17,17,17,16,857,27
16,15,16,17,17,16,16,857,28
16,16,16,17,17,17,16,857,29
17,16,16,17,17,17,16,857,30
16,16,16,16,16,15,16,857,31
17,17,15,18,18,17,12,1714,0
13,14,13,17,18,18,7,1714,1
14,17,13,18,18,17,17,1714,2
16,14,14,18,18,18,17,1714,3
14,15,16,18,18,18,17,1714,4
15,16,14,18,18,18,17,1714,5
11,15,13,17,18,16,17,1714,6
11,12,15,17,18,18,18,1714,7
13,13,14,17,18,18,18,1714,8
12,16,15,16,18,17,18,1714,9
14,14,11,17,18,18,18,1714,10
13,13,9,15,18,18,17,1714,11
14,11,8,14,18,18,18,1714,12
14,11,11,16,18,18,17,1714,13
16,13,12,15,18,18,17,1714,14
16,15,10,17,18,18,18,1714,15
14,17,15,17,18,17,18,1714,16
15,15,9,17,18,18,17,1714,17
17,14,10,17,18,18,17,1714,18
15,12,14,17,18,18,17,1714,19
14,14,10,18,18,18,17,1714,20
16,14,13,18,18,17,17,1714,21
17,14,14,18,18,18,17,1714,22
13,17,14,18,18,18,17,1714,23
17,18,10,18,18,18,15,1714,24
17,15,11,18,18,18,15,1714,25
18,17,11,18,18,18,17,1714,26
17,15,12,18,18,18,17,1714,27
17,15,17,18,18,17,17,1714,28
15,15,17,18,18,18,17,1714,29
18,17,15,18,18,18,17,1714,30
17,17,15,17,17,16,15,1714,31
17,17,13,18,19,18,10,2571,0
9,12,12,17,19,19,6,2571,1
13,14,10,17,19,18,16,2571,2
13,12,13,18,19,19,18,2571,3
11,13,14,19,19,19,18,2571,4
14,15,13,18,19,19,16,2571,5
8,14,12,18,19,17,18,2571,6
8,12,15,17,19,19,18,2571,7
13,12,13,16,17,19,18,2571,8
11,14,11,15,19,18,18,2571,9
12,12,10,16,19,19,19,2571,10
11,11,8,15,17,19,18,2571,11
14,10,7,13,19,18,17,2571,12
13,12,10,17,19,19,18,2571,13
15,13,11,16,19,19,18,2571,14
16,14,10,15,19,17,19,2571,15
15,16,14,18,19,18,18,2571,16
16,15,8,16,19,19,18,2571,17
16,13,9,16,19,18,18,2571,18
14,12,13,18,19,19,18,2571,19
15,13,10,19,19,19,18,2571,20
14,12,13,19,19,17,18,2571,21
18,14,13,19,19,19,18,2571,22
12,16,15,19,19,19,17,2571,23
18,17,10,19,19,19,15,2571,24
18,15,12,19,19,19,16,2571,25
19,17,12,19,19,19,17,2571,26
17,15,11,19,19,18,18,2571,27
17,16,16,19,19,18,16,2571,28
13,15,18,19,19,19,17,2571,29
19,15,16,19,19,19,18,2571,30
18,18,15,16,18,17,16,2571,31
16,16,13,18,20,18,8,3428,0
9,12,10,16,20,20,6,3428,1
13,13,9,18,20,19,17,3428,2
13,12,10,18,20,20,19,3428,3
11,13,12,20,19,18,18,3428,4
13,10,11,17,20,20,15,3428,5
8,11,10,18,20,18,18,3428,6
7,11,12,17,20,19,18,3428,7
11,12,12,16,18,20,19,3428,8
9,13,11,15,20,18,19,3428,9
12,11,10,15,20,18,20,3428,10
11,10,8,16,18,20,18,3428,11
13,10,5,13,19,19,18,3428,12
13,12,10,17,20,19,18,3428,13
15,13,10,16,20,19,18,3428,14
15,14,9,15,20,18,20,3428,15
14,15,13,18,20,17,19,3428,16
14,15,8,16,19,19,19,3428,17
14,10,9,17,20,19,19,3428,18
14,11,12,17,20,19,18,3428,19
14,12,9,19,20,18,18,3428,20
15,12,13,19,20,18,18,3428,21
17,13,12,20,19,20,18,3428,22
12,17,15,19,19,20,18,3428,23
19,15,11,20,20,20,16,3428,24
19,16,13,19,20,20,16,3428,25
20,18,12,20,20,20,18,3428,26
17,15,12,20,20,19,18,3428,27
18,14,16,20,20,19,17,3428,28
12,14,17,20,20,20,16,3428,29
18,15,16,20,20,20,18,3428,30
19,17,14,17,19,16,15,3428,31
16,16,10,18,20,19,7,4285,0
6,10,10,15,21,21,5,4285,1
13,11,9,19,20,20,15,4285,2
10,11,10,19,19,21,20,4285,3
10,12,11,20,20,19,18,4285,4
11,8,10,18,19,20,15,4285,5
8,11,8,19,21,17,15,4285,6
7,10,12,18,21,20,18,4285,7
11,12,9,16,18,20,20,4285,8
8,11,11,15,20,18,20,4285,9
11,10,10,16,21,19,19,4285,10
11,10,7,15,19,21,17,4285,11
10,10,4,12,20,19,18,4285,12
13,12,11,16,21,20,18,4285,13
14,12,8,16,21,20,18,4285,14
14,13,7,16,21,19,19,4285,15
13,14,13,17,21,18,20,4285,16
13,13,7,17,20,20,19,4285,17
13,9,8,17,21,19,18,4285,18
15,11,10,17,21,20,19,4285,19
14,12,10,20,21,19,16,4285,20
14,11,11,19,21,18,18,4285,21
18,13,12,21,20,21,19,4285,22
11,18,15,20,20,21,18,4285,23
20,15,11,21,21,21,17,4285,24
18,16,12,20,21,21,17,4285,25
21,19,13,21,21,21,18,4285,26
18,16,12,20,21,20,18,4285,27
17,15,15,21,21,20,16,4285,28
12,14,17,20,21,21,17,4285,29
19,15,15,21,19,21,18,4285,30
19,17,15,18,20,17,15,4285,31
16,16,10,18,21,20,7,5142,0
6,10,10,15,21,21,5,5142,1
12,10,9,19,21,21,14,5142,2
